Day of School,Month,Date,Schedule Type
94,January,2025-08-18 00:00:00.000000028,Regular Even
95,January,2025-08-18 00:00:00.000000029,Regular Odd
96,January,2025-08-18 00:00:00.000000030,Regular Even
97,February,2025-08-18 00:00:00.000000002,Regular Odd
98,February,2025-08-18 00:00:00.000000003,Early Dismissal Even
99,February,2025-08-18 00:00:00.000000004,Regular Odd
100,February,2025-08-18 00:00:00.000000005,Regular Even
101,February,2025-08-18 00:00:00.000000006,Regular Odd
102,February,2025-08-18 00:00:00.000000010,Regular Even
103,February,2025-08-18 00:00:00.000000011,Regular Odd
104,February,2025-08-18 00:00:00.000000012,Regular Even
105,February,2025-08-18 00:00:00.000000013,Regular Odd
106,February,2025-08-18 00:00:00.000000017,Regular Even
107,February,2025-08-18 00:00:00.000000018,Regular Odd
108,February,2025-08-18 00:00:00.000000019,Regular Even
109,February,2025-08-18 00:00:00.000000020,Regular Odd
110,February,2025-08-18 00:00:00.000000023,Regular Even
111,February,2025-08-18 00:00:00.000000024,Early Dismissal Odd
112,February,2025-08-18 00:00:00.000000025,Regular Even
113,February,2025-08-18 00:00:00.000000026,Regular Odd
114,February,2025-08-18 00:00:00.000000027,Regular Even
115,March,2025-08-18 00:00:00.000000002,Regular Odd
116,March,2025-08-18 00:00:00.000000003,Early Dismissal Even
117,March,2025-08-18 00:00:00.000000004,Regular Odd
118,March,2025-08-18 00:00:00.000000005,Regular Even
119,March,2025-08-18 00:00:00.000000006,Regular Odd
120,March,2025-08-18 00:00:00.000000010,Regular Even
121,March,2025-08-18 00:00:00.000000011,Regular Odd
122,March,2025-08-18 00:00:00.000000012,Regular Even
123,March,2025-08-18 00:00:00.000000013,Regular Odd
124,March,2025-08-18 00:00:00.000000016,Regular Even
125,March,2025-08-18 00:00:00.000000017,Early Dismissal Odd
126,March,2025-08-18 00:00:00.000000018,Regular Even
127,March,2025-08-18 00:00:00.000000019,Regular Odd
128,March,2025-08-18 00:00:00.000000020,Regular Even
129,March,2025-08-18 00:00:00.000000023,Regular Odd
130,March,2025-08-18 00:00:00.000000024,Early Dismissal Even
131,March,2025-08-18 00:00:00.000000025,Regular Odd
132,March,2025-08-18 00:00:00.000000026,Regular Even
133,March,2025-08-18 00:00:00.000000027,Regular Odd
134,March,2025-08-18 00:00:00.000000030,Advisory/Awards Even
135,April,2025-08-18 00:00:00.000000000,Early Dismissal Odd
136,April,2025-08-18 00:00:00.000000001,Regular Even
137,April,2025-08-18 00:00:00.000000002,Regular Odd
138,April,2025-08-18 00:00:00.000000003,Regular Even
139,April,2025-08-18 00:00:00.000000006,Regular Odd
140,April,2025-08-18 00:00:00.000000007,Early Dismissal Even
141,April,2025-08-18 00:00:00.000000008,Regular Odd
142,April,2025-08-18 00:00:00.000000009,Regular Even
143,April,2025-08-18 00:00:00.000000010,Regular Odd
144,April,2025-08-18 00:00:00.000000021,Regular Even
145,April,2025-08-18 00:00:00.000000022,Regular Odd
146,April,2025-08-18 00:00:00.000000023,Regular Even
147,April,2025-08-18 00:00:00.000000024,Regular Odd
148,April,2025-08-18 00:00:00.000000027,Regular Even
149,April,2025-08-18 00:00:00.000000028,Early Dismissal Odd
150,April,2025-08-18 00:00:00.000000029,Regular Even
151,May,2025-08-18 00:00:00.000000000,Regular Odd
152,May,2025-08-18 00:00:00.000000001,Regular Even
153,May,2025-08-18 00:00:00.000000004,Regular Odd
154,May,2025-08-18 00:00:00.000000005,Early Dismissal Even
155,May,2025-08-18 00:00:00.000000006,Regular Odd
156,May,2025-08-18 00:00:00.000000007,Regular Even
157,May,2025-08-18 00:00:00.000000008,Regular Odd
158,May,2025-08-18 00:00:00.000000011,Regular Even
159,May,2025-08-18 00:00:00.000000012,Early Dismissal Odd
160,May,2025-08-18 00:00:00.000000013,Regular Even
161,May,2025-08-18 00:00:00.000000014,Rally Schedule Odd
162,May,2025-08-18 00:00:00.000000015,Regular Even
163,May,2025-08-18 00:00:00.000000018,Testing
164,May,2025-08-18 00:00:00.000000019,Testing
165,May,2025-08-18 00:00:00.000000020,Testing
166,May,2025-08-18 00:00:00.000000021,Testing
167,May,2025-08-18 00:00:00.000000022,Testing
168,May,2025-08-18 00:00:00.000000026,Regular Odd
169,May,2025-08-18 00:00:00.000000027,Regular Even
170,May,2025-08-18 00:00:00.000000028,Regular Odd
171,May,2025-08-18 00:00:00.000000029,Regular Even
172,June,2025-08-18 00:00:00.000000001,Regular Odd
173,June,2025-08-18 00:00:00.000000002,Early Dismissal Even
174,June,2025-08-18 00:00:00.000000003,Regular Odd
175,June,2025-08-18 00:00:00.000000004,Regular Even
176,June,2025-08-18 00:00:00.000000005,Regular Odd
177,June,2025-08-18 00:00:00.000000008,Regular Even
178,June,2025-08-18 00:00:00.000000009,Minimum Day
179,June,2025-08-18 00:00:00.000000010,Regular Even
180,June,2025-08-18 00:00:00.000000011,Minimum Day
